timestamp,sim_time,image,steering,speed,command
JC_20260623_162349_707164,1.6,JC_20260623_162349_707164.png,0.0217,50,2
JC_20260623_162350_313201,1.808,JC_20260623_162350_313201.png,-0.01317,50,2
JC_20260623_162350_790868,2.016,JC_20260623_162350_790868.png,-0.01054,50,2
JC_20260623_162351_368912,2.224,JC_20260623_162351_368912.png,0.01757,50,2
JC_20260623_162351_913774,2.432,JC_20260623_162351_913774.png,0.00351,50,2
JC_20260623_162352_460099,2.64,JC_20260623_162352_460099.png,-0.00908,50,2
JC_20260623_162352_999607,2.848,JC_20260623_162352_999607.png,-0.01166,50,2
JC_20260623_162353_342647,3.056,JC_20260623_162353_342647.png,-0.00309,50,2
JC_20260623_162353_957634,3.264,JC_20260623_162353_957634.png,-0.0113,50,2
JC_20260623_162354_521332,3.472,JC_20260623_162354_521332.png,-0.01351,50,2
JC_20260623_162355_107852,3.68,JC_20260623_162355_107852.png,-0.00027,50,2
JC_20260623_162355_678062,3.888,JC_20260623_162355_678062.png,0.00573,50,2
JC_20260623_162356_243527,4.096,JC_20260623_162356_243527.png,0.01419,50,2
JC_20260623_162356_748967,4.304,JC_20260623_162356_748967.png,0.00713,50,2
JC_20260623_162357_122483,4.512,JC_20260623_162357_122483.png,-0.00911,50,2
JC_20260623_162357_717137,4.72,JC_20260623_162357_717137.png,-0.01174,50,2
JC_20260623_162358_312422,4.928,JC_20260623_162358_312422.png,-0.00813,50,2
JC_20260623_162358_831453,5.136,JC_20260623_162358_831453.png,0.01492,50,2
JC_20260623_162359_327032,5.344,JC_20260623_162359_327032.png,0.01135,50,2
JC_20260623_162359_879588,5.552,JC_20260623_162359_879588.png,0.01249,50,2
JC_20260623_162400_442124,5.76,JC_20260623_162400_442124.png,-0.00259,50,2
JC_20260623_162401_041410,5.968,JC_20260623_162401_041410.png,-0.01552,50,2
JC_20260623_162401_558032,6.176,JC_20260623_162401_558032.png,-0.01547,50,2
JC_20260623_162401_987372,6.384,JC_20260623_162401_987372.png,0.00561,50,2
JC_20260623_162402_548835,6.592,JC_20260623_162402_548835.png,0.0128,50,2
JC_20260623_162403_115794,6.8,JC_20260623_162403_115794.png,0.01283,50,2
JC_20260623_162403_575069,7.008,JC_20260623_162403_575069.png,0.00792,50,2
JC_20260623_162403_996550,7.216,JC_20260623_162403_996550.png,-0.01336,50,2
JC_20260623_162404_610433,7.424,JC_20260623_162404_610433.png,-0.01549,50,2
JC_20260623_162405_168536,7.632,JC_20260623_162405_168536.png,-0.00896,50,2
JC_20260623_162405_617281,7.84,JC_20260623_162405_617281.png,0.01986,50,2
JC_20260623_162406_137343,8.048,JC_20260623_162406_137343.png,0.00671,50,2
JC_20260623_162406_868587,8.256,JC_20260623_162406_868587.png,0.00819,50,2
JC_20260623_162407_481324,8.464,JC_20260623_162407_481324.png,-0.00252,50,2
JC_20260623_162408_084300,8.672,JC_20260623_162408_084300.png,-0.01524,50,2
JC_20260623_162408_600564,8.88,JC_20260623_162408_600564.png,-0.01697,50,2
JC_20260623_162409_069078,9.088,JC_20260623_162409_069078.png,-0.00302,50,2
JC_20260623_162409_670428,9.296,JC_20260623_162409_670428.png,0.01618,50,2
JC_20260623_162410_198447,9.504,JC_20260623_162410_198447.png,0.01335,50,2
JC_20260623_162410_675740,9.712,JC_20260623_162410_675740.png,0.00344,50,2
JC_20260623_162411_282816,9.92,JC_20260623_162411_282816.png,-0.01321,50,2
JC_20260623_162411_775266,10.128,JC_20260623_162411_775266.png,-0.01637,50,2
JC_20260623_162412_289329,10.336,JC_20260623_162412_289329.png,0.00178,50,2
JC_20260623_162412_794886,10.544,JC_20260623_162412_794886.png,0.00795,50,2
JC_20260623_162413_350221,10.752,JC_20260623_162413_350221.png,0.01072,50,2
JC_20260623_162413_757183,10.96,JC_20260623_162413_757183.png,0.00657,50,2
JC_20260623_162414_146202,11.168,JC_20260623_162414_146202.png,-0.00697,50,2
JC_20260623_162414_536291,11.376,JC_20260623_162414_536291.png,-0.01625,50,2
JC_20260623_162415_130152,11.584,JC_20260623_162415_130152.png,-0.0121,50,2
JC_20260623_162415_717532,11.792,JC_20260623_162415_717532.png,0.00038,50,2
JC_20260623_162416_239602,12,JC_20260623_162416_239602.png,0.00735,50,2
JC_20260623_162416_608455,12.208,JC_20260623_162416_608455.png,0.01523,50,2
JC_20260623_162417_046792,12.416,JC_20260623_162417_046792.png,-0.00663,50,2
JC_20260623_162417_638585,12.624,JC_20260623_162417_638585.png,-0.01345,50,2
JC_20260623_162418_107788,12.832,JC_20260623_162418_107788.png,-0.01322,50,2
JC_20260623_162418_676449,13.04,JC_20260623_162418_676449.png,0.00482,50,2
JC_20260623_162419_069210,13.248,JC_20260623_162419_069210.png,0.01257,50,2
JC_20260623_162419_493363,13.456,JC_20260623_162419_493363.png,0.01154,50,2
JC_20260623_162420_052780,13.664,JC_20260623_162420_052780.png,0.00589,50,2
JC_20260623_162420_513460,13.872,JC_20260623_162420_513460.png,-0.01191,50,2
JC_20260623_162420_889859,14.08,JC_20260623_162420_889859.png,-0.01427,50,2
JC_20260623_162421_277536,14.288,JC_20260623_162421_277536.png,-0.00656,50,2
JC_20260623_162421_868039,14.496,JC_20260623_162421_868039.png,0.01224,50,2
JC_20260623_162422_428646,14.704,JC_20260623_162422_428646.png,0.01656,50,2
JC_20260623_162422_943720,14.912,JC_20260623_162422_943720.png,0.01037,50,2
JC_20260623_162423_290830,15.12,JC_20260623_162423_290830.png,0.00936,50,2
JC_20260623_162423_881509,15.328,JC_20260623_162423_881509.png,-0.01368,50,2
JC_20260623_162424_249481,15.456,JC_20260623_162424_249481.png,-0.0464,50,2
JC_20260623_162424_608333,15.584,JC_20260623_162424_608333.png,-0.04462,50,2
JC_20260623_162424_860301,15.696,JC_20260623_162424_860301.png,-0.06277,50,2
JC_20260623_162425_036288,15.808,JC_20260623_162425_036288.png,-0.06033,50,2
JC_20260623_162425_229672,15.92,JC_20260623_162425_229672.png,-0.06923,50,2
JC_20260623_162425_567804,16.032,JC_20260623_162425_567804.png,-0.06195,50,2
JC_20260623_162425_870960,16.144,JC_20260623_162425_870960.png,-0.0635,50,2
JC_20260623_162426_109295,16.256,JC_20260623_162426_109295.png,-0.06535,50,2
JC_20260623_162426_343064,16.368,JC_20260623_162426_343064.png,-0.05793,50,2
JC_20260623_162426_671775,16.48,JC_20260623_162426_671775.png,-0.06822,50,2
JC_20260623_162426_971812,16.592,JC_20260623_162426_971812.png,-0.05659,50,2
JC_20260623_162427_229831,16.704,JC_20260623_162427_229831.png,-0.07215,50,2
JC_20260623_162427_463867,16.816,JC_20260623_162427_463867.png,-0.06491,50,2
JC_20260623_162427_734417,16.928,JC_20260623_162427_734417.png,-0.07646,50,2
JC_20260623_162427_919513,17.04,JC_20260623_162427_919513.png,-0.05727,50,2
JC_20260623_162428_159908,17.152,JC_20260623_162428_159908.png,-0.07871,50,2
JC_20260623_162428_491698,17.264,JC_20260623_162428_491698.png,-0.06135,50,2
JC_20260623_162428_792100,17.376,JC_20260623_162428_792100.png,-0.07798,50,2
JC_20260623_162428_994792,17.488,JC_20260623_162428_994792.png,-0.06459,50,2
JC_20260623_162429_185677,17.6,JC_20260623_162429_185677.png,-0.07559,50,2
JC_20260623_162429_429790,17.712,JC_20260623_162429_429790.png,-0.06233,50,2
JC_20260623_162429_697624,17.824,JC_20260623_162429_697624.png,-0.07739,50,2
JC_20260623_162429_904850,17.936,JC_20260623_162429_904850.png,-0.06826,50,2
JC_20260623_162430_210525,18.048,JC_20260623_162430_210525.png,-0.07371,50,2
JC_20260623_162430_528367,18.16,JC_20260623_162430_528367.png,-0.06756,50,2
JC_20260623_162430_813104,18.272,JC_20260623_162430_813104.png,-0.07293,50,2
JC_20260623_162431_061179,18.384,JC_20260623_162431_061179.png,-0.06664,50,2
JC_20260623_162431_277902,18.496,JC_20260623_162431_277902.png,-0.06803,50,2
JC_20260623_162431_528378,18.608,JC_20260623_162431_528378.png,-0.07163,50,2
JC_20260623_162431_745285,18.72,JC_20260623_162431_745285.png,-0.06039,50,2
JC_20260623_162431_989982,18.832,JC_20260623_162431_989982.png,-0.07016,50,2
JC_20260623_162432_316728,18.944,JC_20260623_162432_316728.png,-0.06394,50,2
JC_20260623_162432_619880,19.056,JC_20260623_162432_619880.png,-0.07465,50,2
